=== 业务单据抽样样本 (覆盖6大单据类型且每类不少于30条，含正式与测试业务) ===
ID=000004 | 单位ID=0001 | 单号=DOC-00000004 | 类型=采购结算单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 21169.10 | 状态=处理完成  | 提交=2026-08-11 15:07:25 | 审批=2026-08-12 18:16:25
ID=000013 | 单位ID=0001 | 单号=DOC-00000013 | 类型=采购结算单  | 性质=正式业务 | 申请人=汤高山  | 金额= 15859.46 | 状态=待生成凭证 | 提交=2026-04-01 17:23:59 | 审批=无
ID=000016 | 单位ID=0001 | 单号=DOC-00000016 | 类型=采购结算单  | 性质=正式业务 | 申请人=孟明德  | 金额= 80892.79 | 状态=处理完成  | 提交=2025-11-28 15:19:46 | 审批=2025-11-29 11:02:46
ID=000019 | 单位ID=0001 | 单号=DOC-00000019 | 类型=采购结算单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 51269.84 | 状态=处理完成  | 提交=2026-08-11 10:20:08 | 审批=2026-08-12 11:58:08
ID=000025 | 单位ID=0001 | 单号=DOC-00000025 | 类型=采购结算单  | 性质=正式业务 | 申请人=赵俊豪  | 金额= 74497.67 | 状态=处理完成  | 提交=2026-04-24 08:31:11 | 审批=2026-04-26 05:15:11
ID=000029 | 单位ID=0001 | 单号=DOC-00000029 | 类型=采购结算单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 63239.75 | 状态=处理完成  | 提交=2026-06-21 15:46:26 | 审批=2026-06-22 03:13:26
ID=000031 | 单位ID=0001 | 单号=DOC-00000031 | 类型=采购结算单  | 性质=正式业务 | 申请人=赵俊豪  | 金额= 50935.16 | 状态=处理完成  | 提交=2026-07-25 15:14:08 | 审批=2026-07-26 16:43:08
ID=000032 | 单位ID=0001 | 单号=DOC-00000032 | 类型=采购结算单  | 性质=正式业务 | 申请人=卜风华  | 金额= 28480.16 | 状态=处理完成  | 提交=2026-05-28 09:13:23 | 审批=2026-05-28 23:18:23
ID=000037 | 单位ID=0001 | 单号=DOC-00000037 | 类型=采购结算单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 35386.82 | 状态=处理完成  | 提交=2025-11-23 14:42:48 | 审批=2025-11-23 18:28:48
ID=000040 | 单位ID=0001 | 单号=DOC-00000040 | 类型=采购结算单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 10294.53 | 状态=处理完成  | 提交=2026-06-13 12:10:34 | 审批=2026-06-15 10:48:34
ID=000053 | 单位ID=0001 | 单号=DOC-00000053 | 类型=采购结算单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 49628.90 | 状态=处理完成  | 提交=2026-05-13 11:28:31 | 审批=2026-05-14 04:08:31
ID=000057 | 单位ID=0001 | 单号=DOC-00000057 | 类型=采购结算单  | 性质=正式业务 | 申请人=褚熹   | 金额= 14109.41 | 状态=处理完成  | 提交=2026-04-18 10:17:20 | 审批=2026-04-20 01:33:20
ID=000058 | 单位ID=0001 | 单号=DOC-00000058 | 类型=采购结算单  | 性质=正式业务 | 申请人=褚熹   | 金额= 35307.40 | 状态=处理完成  | 提交=2026-03-01 11:21:25 | 审批=2026-03-02 13:39:25
ID=000059 | 单位ID=0001 | 单号=DOC-00000059 | 类型=采购结算单  | 性质=正式业务 | 申请人=孟明德  | 金额= 45231.86 | 状态=处理完成  | 提交=2026-01-23 09:16:17 | 审批=2026-01-23 18:51:17
ID=000062 | 单位ID=0001 | 单号=DOC-00000062 | 类型=采购结算单  | 性质=正式业务 | 申请人=赵俊豪  | 金额= 26776.61 | 状态=处理完成  | 提交=2026-05-02 15:11:48 | 审批=2026-05-04 05:08:48
ID=000069 | 单位ID=0001 | 单号=DOC-00000069 | 类型=采购结算单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 15411.44 | 状态=处理完成  | 提交=2026-07-23 11:32:47 | 审批=2026-07-23 22:59:47
ID=000084 | 单位ID=0001 | 单号=DOC-00000084 | 类型=采购结算单  | 性质=正式业务 | 申请人=褚熹   | 金额=  6254.98 | 状态=处理完成  | 提交=2025-12-13 16:40:13 | 审批=2025-12-13 23:20:13
ID=000085 | 单位ID=0001 | 单号=DOC-00000085 | 类型=采购结算单  | 性质=正式业务 | 申请人=褚熹   | 金额= 16878.64 | 状态=处理完成  | 提交=2026-08-28 13:28:09 | 审批=2026-08-29 00:36:09
ID=000089 | 单位ID=0001 | 单号=DOC-00000089 | 类型=采购结算单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 18093.67 | 状态=处理完成  | 提交=2025-12-20 12:29:48 | 审批=2025-12-20 21:02:48
ID=000097 | 单位ID=0001 | 单号=DOC-00000097 | 类型=采购结算单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 45711.47 | 状态=处理完成  | 提交=2026-04-11 13:11:11 | 审批=2026-04-11 21:39:11
ID=122594 | 单位ID=0580 | 单号=DOC-00122594 | 类型=采购结算单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 68483.19 | 状态=处理完成  | 提交=2026-07-24 10:52:45 | 审批=2026-07-25 09:24:45
ID=122599 | 单位ID=0580 | 单号=DOC-00122599 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额=  8963.11 | 状态=已驳回   | 提交=2026-07-21 16:47:04 | 审批=无
ID=122600 | 单位ID=0580 | 单号=DOC-00122600 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 32644.91 | 状态=处理完成  | 提交=2026-08-03 15:54:37 | 审批=2026-08-04 09:50:37
